Nro,Municipio,Dependencia,Dirección,Horario,Email,WhatsApp,Localidades,Cabecera
,,,,,,,,
1.0,Adolfo Alsina,Oficina de Registro Dominial,Pellegrini y Rivadavia de Carhué,7 a 13 horas,,,,Carhué
2.0,Adolfo Gonzales Chaves,Dirección de Asesoría Letrada,B. Mitre esq. Juan Eliçagaray – Palacio Municipal,7:30 a 14 horas,legalesagonzaleschaves@gmail.com,,,Gonzales Chaves
3.0,Alberti,Secretaría Legal y Técnica (oficina de legales),"Palacio Municipal - LN Alem 202, primer piso",8 a 14 horas,tramiteslegalytecnica@gmail.com,,,Alberti
4.0,Almirante Brown,Subsecretaria de Tierras,Rosales Nro. 1312. Planta baja. Municipalidad de Alte. Brown,8 a 13.30 horas,,,,Adrogué
5.0,Arrecifes,Asesoría Letrada,Ricardo Gutiérrez 730,8 hs a 12 horas,,,,Arrecifes
6.0,Avellaneda,Dirección de Regularización Dominial,"Levalle 355, segundo piso",,,,,Avellaneda
7.0,Ayacucho,Secretaria Legal y Técnica,Calle Alem N° 1078,7 a 13 horas,,,,Ayacucho
8.0,Azul,Dirección de regularización Dominial,,7 a 15 horas,,,,Azul
9.0,Bahía Blanca,Departamento Territorial,Chiclana 453,Escrituras: Martes y jueves 8-13hs (con turno),escrituracionsocialmbb@hotmail.com,,,Bahía Blanca
10.0,Balcarce,Dirección de Regularización Dominial,Calle 16 nro. 602,8 a 14 horas,,,,Balcarce
11.0,Baradero,"Dirección de Tierras, regularización dominial y Catastro",San Martin 905,7 a 12 horas,,,,Baradero
12.0,Berazategui,Subsecretaría de Escrituración Social y Protección de la vivienda,Av. 14 e/ 131 y 131A,8 a 14 horas,escrituracionSocialMB@gmail.com,,,Berazategui
13.0,Berisso,"Subsecretaría de Tierras, Vivienda y Hábitat","Montevideo 1°piso, Edificio del Consejo Deliberante",8 a 14 horas,,,,Berisso
14.0,Benito Juárez,,Moreno 69,8 a 15 horas,,,,Benito Juárez
15.0,Bolívar,Legales,Av. Belgrano 11,7 a 14 horas,,,,San Carlos de Bolívar
16.0,Bragado,,Alsina 178 (Oficina 1 piso),8 a 14 horas,,,,Bragado
17.0,Brandsen,Dirección de Regularización Dominial,Saenz Peña N° 752,8 a 13:30 horas,,,,Coronel Brandsen
18.0,Campana,Banco de Tierras,"Av. Varela N° 750, Biblioteca Municipal",8:30 a 14:00 horas,,,,Campana
19.0,Cañuelas,Dirección de Tierras,25 de Mayo 662,8 a 14 horas,,,,Cañuelas
20.0,Capitán Sarmiento,,Centenario 499,7 a 13 horas,,,,Capitán Sarmiento
21.0,Carlos Casares,Subsecretaría de Regularización Dominial,Monseñor De Andrea 25,7:30 a 13:00 horas,,,,Carlos Casares
22.0,Carlos Tejedor,Dirección de Desarrollo Territorial y Hábitat,Almirón N° 301,7 a 13 horas,,,,Carlos Tejedor
23.0,Carmen de Areco,Dirección de Planeamiento,Damaso Romero 433,8:00 a 13:00 horas,habitat.mcdea@gmail.com,,,Carmen de Areco
24.0,Castelli,Oficina de Tierra y Vivienda,Av. 25 de mayo Nº 205,7 a 13 horas,,,,Castelli
25.0,Chacabuco,Casa de Tierras,"Pueyrredón 83, Piso Primero",8:00 a 12:00 horas,,,,Chacabuco
26.0,Chascomús,Oficina Política de Hábitat,Cramer n°270,8:00 a 13:30 horas,,,,Chascomús
27.0,Chivilcoy,Casa de Tierras,Av. Soarez Nº 69,8:00 a 14:00 horas,casadetierras@chivilcoy.gob.ar,,,Chivilcoy
28.0,Coronel Dorrego,,Av. Fuertes 630,7:00 a 14:00 horas,,,,Coronel Dorrego
29.0,Coronel Pringles,"Dirección de Catastro, Vivienda y Tierras",Avda. 25 de Mayo (52) y Calle Cnel. E. Spika (21),7:00 a 13:00 horas,,,,Coronel Pringles
30.0,Coronel Rosales,Departamento de Arquitectura,Murature 584 / Rivadavia 584 2º Piso,7:00 a 13:00 horas,tierrasyvivienda@tramitesrosales.gob.ar,,,
31.0,Coronel Suárez,Oficina de Patrimonio,Rivadavia 155,7:00 a 14:00 horas,,,,Coronel Suárez
32.0,Colón,,Calle 51 y 17,7 a 14 horas,,,,Colón
33.0,Daireaux,Área de Catastro - Secretaría de Planeamiento y Obras Públicas,Levalle N°150,7 a 14 horas,,,,Daireaux
34.0,Dolores,,"25 de mayo N° 347, primer piso",7 a 13 horas,,,,Dolores
35.0,Esteban Echeverría,Secretaría de Tierras y Vivienda,"Sofía Terrero de Santamarina 432, Monte Grande",8:00 a 14:00 horas,tierras_ee@hotmail.com,,,Monte Grande
36.0,Ensenada,,La Merced Nº 491 1º piso of. 202/203,8 a 15 horas,tierrasfiscalesensenada@gmail.com,,,Ensenada
37.0,Escobar,,"Av. 25 de Mayo 459, 2do piso",8 a 15 horas,,,,Belén de Escobar
38.0,Exaltación de la Cruz,,"Rivadavia Nº 411, Capilla del Señor",8:00 a 14:00 horas,,,,Capilla del Señor
39.0,Ezeiza,Sub-Secretaría Legal y Técnica,Avellaneda 51 Piso 2,8:30 a 14:30 horas,,,,Ezeiza
40.0,Florencio Varela,Dirección General de Regularización Dominial,Calle 25 de mayo N° 2725,8:30 a 14:00 horas,,,,Florencio Varela
41.0,Florentino Ameghino,,Calle 7 N° 668,7:00 a 13:00 horas,,,,Florentino Ameghino
42.0,General Alvarado,Dirección de Concesiones y Gestión Territorial,Calle 28 nº 1084,7 a 13 horas,,,,Miramar
43.0,General Alvear,,Pte Perón esq San Martin,Lunes y viernes 12:30 a 15:30,,,,General Alvear
44.0,General Arenales,Oficina de Regularización Dominial,"Centro Cívico Planta Baja, Calle 9 De Julio 48",,,2364698798,,General Arenales
45.0,General Belgrano,Asesoría Legal,Juan E de la Fuente N° 834,8 a 12 horas,asesorialegal@generalbelgrano.gob.ar,,,General Belgrano
46.0,General Guido,Asesoría Letrada,"Belgrano N° 450, primer piso",8 a 12 horas,,,,General Guido
47.0,General La Madrid,Subsecretaría de Hábitat y Vivienda,San Martin Nº 831,7 a 13:30 horas,,,,General La Madrid
48.0,General Las Heras,Oficina de Catastro y Regularización Dominial,Avenida Villamayor 250,8:00 a 14:00 horas,,,,General Las Heras
49.0,General Lavalle,,Bartolomé Mitre 861,7 a 13 horas,,,,General Lavalle
50.0,General San Martin,Dirección de Tierras,"Belgrano 3747, 3° piso, oficina 3",8 a 15 horas,,11-5055-6398,,
51.0,General Madariaga,Oficina de Tierra y Vivienda,"Terminal de Omnibús, Urrutia y Belgrano",,vivienda@madariaga.gob.ar,,,General Madariaga
52.0,General Paz,,Obdulio Hernández Castro 2813 Planta Alta – Centro Cívico,8 a 13 horas,,,,Ranchos
53.0,General Pinto,,"Av. Mitre y Alsina, salón polivalente.","Días lunes, miércoles y jueves de 9 a 12 horas",,,,General Pinto
54.0,General Pueyrredón,Departamento de Banco de Tierras,Calle La Rioja 1650 PB,,,,,Mar del Plata
55.0,General Rodríguez,,Calle 2 de abril 756,8 a 13 horas,,,,General Rodríguez
56.0,General Viamonte,,Mitre N° 991,7 a 13 horas,,,,Los Toldos
57.0,General Villegas,,Pringles 351,7 a 14 horas,"nicolecestassi@villegas.gov.ar, privada@villegas.gov.ar",,,General Villegas
58.0,Guaminí,Escrituración Social,Palacio Municipal Plaza Alsina s/n,"Lunes, miércoles y viernes",,,,Guaminí
59.0,Hipólito Yrigoyen,,Calle España y Mariano Moreno (3er piso),7 a 13 horas,dircatastrohy@gmail.com,,,Henderson
60.0,Hurlingham,Dirección General de Hábitat Tierra y Vivienda,Av. Pedro Díaz 1710 Planta Baja,8 a 15 horas,"habitathurlingham@gmail.com, tierrashurlingham@gmail.com",,,Hurlingham
61.0,Ituzaingó,,Ratti 10,8:00 a 15:00 horas,,,,Ituzaingó
62.0,José C. Paz,Dirección General de Casa de Tierras,Av. Gaspar Campos 6372 esq. Altube,8 a 14 horas,,,,José C. Paz
63.0,Junín,,"Benito de Miguel 5, 1er piso",8 a 13:30 horas,,,,Junín
64.0,La Costa,,"Av. Costanera 8001, Mar del Tuyú",9 a 14:30 horas,,,,Mar de Ajó
65.0,La Matanza,,"Calle Perú 2430, San Justo",8 a 14 horas,,,"La Matanza, San Justo, 20 de Junio, Aldo Bonzi, Ciudad Celina, Ciudad Evita, González Catán, Gregorio de Laferrere, Isidro Casanova, La Tablada, Lomas del Mirador, Rafael Castillo, Ramos Mejía, Tapiales, Villa Luzuriaga, Villa Madero, Virrey del Pino",San Justo
66.0,Lanús,,"Av. Hipólito Yrigoyen 3863, Lanús Oeste",7:30 a 13:30 horas,regularizaciondominial@lanus.gob.ar,,"Gerli, Lanús Oeste, Lanús Este, Monte Chingolo, Remedios de Escalada, Valentín Alsina.",Lanús
67.0,La Plata,"Subsecretaría de Tierras, Hábitat y Vivienda","Torre 1, 4to piso",8 a 14 horas,,221-4823996,"Abasto, Altos de San Lorenzo,  Ángel Etcheverry, Arturo Seguí, Barrio El Carmen (Oeste),Gambier, Barrio Las Malvinas, Barrio Las Quintas, City Bell, Eduardo Arana, El Peligro, El Retiro, Joaquín Gorina, José Hernández, La Cumbre, Lisandro Olmos, Los Hornos, Manuel B. Gonnet, Melchor Romero, Ringuelet, San Carlos, Tolosa, Transradio,,Villa Elisa, Villa Elvira, Villa Garibaldi, Villa Montoro, Villa Parque Sicardi, Ignacio Correas, Lomas de Copello.",La Plata
68.0,Laprida,Oficina Asesoría Letrada,,7 a 14 horas,laprida.asesoria@gmail.com,,"Laprida, Pueblo San Jorge, Pueblo Nuevo.",Laprida
69.0,Las Flores,,San Martin 480,,,,"Las Flores, Pardo, El Trigo, Coronel Boerr, Rosas",Las Flores
70.0,Leandro N. Alem,,Avenida Rivadavia 240,7:30 a 13:00 horas,,,"Vedia, Juan Bautista Alberdi, Leandro N. Alem, Colonia Alberdi (Colonia Alberdi, El Dorado, Fortín Acha",Vedia
71.0,Lezama,,Hipólito Irigoyen N° 311,8:00 a 13:00 horas,,,,
72.0,Lincoln,Dirección de Tierras,"Palacio Municipal, Av. Massey y Av. 25 de Mayo",7 a 13 horas,,,"Lincoln,  Roberts, Pasteur, El Triunfo, Arenaza , Coronel Martínez de Hoz (conocido también como Cojudo Muerto), Bayauca, Las Toscas, Carlos Salas,  Triunvirato",Lincoln
73.0,Lobería,,Av. San Martin N° 51,7:00 a 13:00 horas,,,"Lobería, cabecera, San Manuel, Tamangueyú, Licenciado Matienzo, Pieres,",Lobería
74.0,Lobos,,Salgado 40,7 a 13 horas,,,"Antonio Carboni, Lobos Elvira, Lobos",Lobos
75.0,Lomas de Zamora,Dirección de Regularización Dominial,Manuel Castro 220,8 a 14 horas,,,"Banfield, Ingeniero Budge, Llavallol, Lomas de Zamora, San José, Temperley",Lomas de Zamora
76.0,Luján,Dirección de Tierras y Vivienda,Mariano Moreno 1290,8 a 13 horas,,2323482140,"Carlos Keen,Cortinez, Jáuregui, Luján, Olivera, Open Door, Torres, Lezica y Torrezuri",Luján
